,mean,ratio
alcbev,4.842386666666667,0.06262911375265102
bakery,7.906218076923078,0.1022552442375966
beef,5.851106153846154,0.07567540927918476
cereal,4.092478717948718,0.052930162913476624
eggs,1.0752301282051282,0.01390651235540254
fresh_fruit,8.107099102564101,0.1048533433716918
fresh_veg,6.532807179487179,0.08449220438851872
milk,3.2849244871794863,0.04248564262590201
non_alc_bevs,9.937705256410256,0.12852952805862314
oils,2.4295678205128204,0.03142286848923214
othdairy,5.214701923076924,0.06744446125599624
othmeat,2.803512692307693,0.03625929265875906
pork,3.9755048717948718,0.051417279118532326
poultry,8.398430,0.097979
procfruit,2.0285266666666666,0.02623599396377943
proc_veg,3.1498229487179494,0.04073830392643169
seafood,2.594154358974359,0.033551552080408144
sweets,3.49271358974359,0.04517308752381362
