food,category,quantity,units,price,ndb,expend,qty_purchased
Beer,alcbev,12.0,oz,10.99,14004,1.614128888888889,1.7624701243554748
Liquor and cocktails,alcbev,12.0,oz,10.99,14252,1.614128888888889,1.7624701243554748
Wine,alcbev,750.0,ml,9.59,14253,1.614128888888889,126.23531456378171
Cookies and brownies,bakery,14.3,oz,5.69,45260051,2.6354060256410254,6.623252401874633
Tortillas,bakery,20.0,oz,4.56,45365414,2.6354060256410254,11.558798358074673
Yeast breads,bakery,1.0,oz,0.37,45078812,2.6354060256410254,7.122718988218987
"Beef, excludes ground",beef,3.0,lb,17.97,45258324,1.9503687179487177,0.3256041265356791
Burgers,beef,32.0,oz,12.49,45280663,1.9503687179487177,4.996941471125617
Ground beef,beef,3.5,lb,12.22,45092824,1.9503687179487177,0.5586162449116622
Oatmeal,cereal,42.0,oz,4.99,45358334,1.3641595726495728,11.4819042186938
"Pasta, noodles, cooked grains",cereal,16.0,oz,1.79,45051621,1.3641595726495728,12.193605118655398
"Read to eat cereal, higher sugar",cereal,15.0,oz,4.99,08034,1.3641595726495728,4.100680078104928
"Egg rolls, dumplings, sushi",eggs,1.0,oz,0.77,45291329,0.35841004273504273,0.46546758796758797
Egg/breakfast sandwiches,eggs,36.0,oz,11.29,45261240,0.35841004273504273,1.142848674797302
Eggs and omelets,eggs,30.0,oz,3.06,45365852,0.35841004273504273,3.513823948382772
Apples,fresh_fruit,3.0,lb,4.1,45351018,2.702366367521367,1.9773412445278298
Bananas,fresh_fruit,4.0,lb,1.44,45114822,2.702366367521367,7.506573243114909
Grapes,fresh_fruit,2.0,lb,9.18,45287254,2.702366367521367,0.5887508425972477
"Beans, peas, legumes",fresh_veg,20.0,oz,5.9,45218916,2.1776023931623927,7.381703027669127
French fries and other fried potatoes,fresh_veg,28.0,oz,3.0,45355686,2.1776023931623927,20.324289002848996
Other starchy vegetables,fresh_veg,1.0,lb,1.59,45332962,2.1776023931623927,1.3695612535612531
"Flavored milk,whole",milk,0.5,gallon,3.39,14177,1.0949748290598287,0.1615007122507122
"Milk, non fat",milk,1.0,gallon,3.39,45340014,1.0949748290598287,0.3230014245014244
"Milk, whole",milk,1.0,gallon,4.89,45287045,1.0949748290598287,0.2239212329365703
Coffee,non_alc_bevs,8.12,oz,1.55,45103325,3.312568418803419,17.3535842326992
Soft drinks,non_alc_bevs,2.0,L,2.29,45244701,3.312568418803419,2.893072854850147
Sports and energy drinks,non_alc_bevs,32.0,oz,1.0,45250810,3.312568418803419,106.0021894017094
Butter and animal fats,oils,16.0,oz,4.59,01001,0.8098559401709401,2.823027242425935
Margarine,oils,16.0,oz,1.59,45325827,0.8098559401709401,8.149493737569209
Salad dressings and vegetable oils,oils,15.0,oz,2.99,45329156,0.8098559401709401,4.062822442329131
Cheese,othdairy,32.0,oz,6.99,45102597,1.7382339743589748,7.957580426249955
Mayonnaise,othdairy,30.0,oz,3.99,45285903,1.7382339743589748,13.069428378638907
Milk shakes and other dairy drinks,othdairy,14.0,oz,3.0,"""01110""",1.7382339743589748,8.111758547008549
Meat mixed dishes,othmeat,12.5,oz,5.69,45283218,0.9345042307692312,2.052953055292687
Other sandwiches,othmeat,5.7,oz,1.97,45217344,0.9345042307692312,2.7038954900429535
Sausages,othmeat,12.0,oz,4.59,07074 ,0.9345042307692312,2.443148315736552
Bacon,pork,12.0,oz,3.5,07254,1.3251682905982907,4.543434139194139
Pork,pork,4.0,lb,11.96,10036,1.3251682905982907,0.44320009719006376
PLACEHOLDER,pork,0.0,lb,1.0,000000,1.3251682905982907,0.0
"Chicken patties, nuggets and tenders",poultry,29.0,oz,7.99,45307872 ,2.799476666666667,10.160803921568629
"Chicken, whole pieces",poultry,22.0,oz,6.99,45215768,2.799476666666667,8.810942298521699
Chicken/turkey sandwiches,poultry,5.1,oz,1.97,45261435 ,2.799476666666667,7.24737614213198
Mashed potatoes and white potato mixtures,proc_veg,24.0,oz,4.59,45285729,1.049940982905983,5.489887492318865
Processed soy products,proc_veg,22.0,oz,27.99,03941,1.049940982905983,0.8252483609836236
PLACEHOLDER,proc_veg,0.0,oz,1.0,00000,1.049940982905983,0.0
Apple juice,procfruit,64.0,oz,2.0,45352847,0.6761755555555555,21.637617777777777
Citrus juice,procfruit,89.0,oz,7.79,45306106,0.6761755555555555,7.725240621879903
Nutrition bars,procfruit,2.4,oz,5.49,45282698,0.6761755555555555,0.29559587128111714
Fish,seafood,1.0,lb,12.99,45324548,0.8647181196581197,0.06656798457722246
Seafood mixed dishes,seafood,10.6,oz,3.99,45210059,0.8647181196581197,2.29724613242508
Shellfish,seafood,1.0,lb,6.99,45209508,0.8647181196581197,0.12370788550187692
Candy containing chocolate,sweets,1.79,oz,1.55,45249099,1.1642378632478632,1.3445069517507582
Ice cream and frozen dairy desserts,sweets,84.0,oz,8.59,19095,1.1642378632478632,11.384863854810302
Sugars and honey,sweets,4.0,lb,2.89,19334,1.1642378632478632,1.6114018868482534
